Segment ID,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
141787,NB,4.0,19.11111111111111,9.444444444444445,6.0,3.5555555555555554,3.2222222222222223,9.777777777777779,30.666666666666668,179.44444444444446,137.0,88.33333333333333,92.44444444444444,109.22222222222223,116.11111111111111,130.55555555555554,156.33333333333334,146.44444444444446,149.11111111111111,148.77777777777777,155.0,132.66666666666666,98.11111111111111,67.88888888888889,51.333333333333336,28.666666666666668,2069.222222222222
142279,SB,1.0,991.6666666666666,680.8888888888889,456.55555555555554,447.8888888888889,622.7777777777778,1608.2222222222222,2970.222222222222,3015.3333333333335,3324.222222222222,3171.6666666666665,3048.8888888888887,3150.3333333333335,3003.8888888888887,2761.3333333333335,3080.1111111111113,3283.6666666666665,3329.777777777778,3562.5555555555557,3556.777777777778,3004.0,2365.222222222222,2191.1111111111113,1976.0,1538.2222222222222,57141.333333333336
142280,NB,1.0,2235.777777777778,1437.888888888889,947.2222222222222,705.6666666666666,669.0,635.6666666666666,1213.111111111111,2128.0,2507.777777777778,2278.6666666666665,2388.6666666666665,2610.4444444444443,2786.777777777778,2996.8888888888887,3504.8888888888887,3926.1111111111113,3645.3333333333335,3402.5555555555557,3335.4444444444443,3202.0,2951.0,2865.222222222222,2713.6666666666665,2516.222222222222,57604.0
142386,EB,4.0,3810.4444444444443,2810.222222222222,2181.1111111111113,1894.6666666666667,2212.6666666666665,2930.4444444444443,3809.3333333333335,4380.111111111111,4350.111111111111,4450.777777777777,4711.666666666667,4973.0,5286.888888888889,5494.666666666667,5467.222222222223,5176.555555555556,5260.111111111111,5280.888888888889,5487.555555555556,5452.777777777777,5492.222222222223,5186.555555555556,4765.222222222223,4379.222222222223,105244.44444444444
142554,SB,1.0,1237.0,874.5555555555555,648.4444444444445,540.5555555555555,635.2222222222222,1488.2222222222222,2970.8888888888887,3236.0,3454.777777777778,3268.3333333333335,3096.5555555555557,3030.3333333333335,2862.4444444444443,2854.222222222222,2957.6666666666665,3150.222222222222,3163.777777777778,3198.3333333333335,3180.5555555555557,2974.222222222222,2447.8888888888887,2179.777777777778,2029.111111111111,1728.2222222222222,57207.333333333336
142555,NB,1.0,2329.3333333333335,1684.7777777777778,1183.6666666666667,959.6666666666666,894.4444444444445,770.8888888888889,1354.5555555555557,2145.777777777778,2527.6666666666665,2504.3333333333335,2756.1111111111113,3011.5555555555557,3140.0,3403.5555555555557,4055.6666666666665,4619.555555555556,4457.111111111111,3988.0,3909.8888888888887,3887.1111111111113,3557.3333333333335,3344.0,3039.8888888888887,2745.222222222222,66270.11111111111
142566,NB,2.0,1878.7777777777778,1618.5555555555557,1271.0,693.4444444444445,345.44444444444446,229.66666666666666,222.66666666666666,402.77777777777777,912.7777777777778,1776.111111111111,2565.777777777778,2865.8888888888887,2487.8888888888887,2517.777777777778,2539.4444444444443,2489.3333333333335,2536.3333333333335,2998.4444444444443,3173.777777777778,3085.777777777778,3047.4444444444443,2666.777777777778,2476.0,2018.3333333333333,46820.22222222222
142613,NB,3.0,1856.888888888889,1167.3333333333333,840.4444444444445,786.1111111111111,1049.888888888889,2118.6666666666665,2935.3333333333335,3255.5555555555557,3738.0,3794.6666666666665,3701.6666666666665,3867.5555555555557,3906.3333333333335,4022.0,4360.888888888889,4590.555555555556,4460.444444444444,4455.666666666667,4539.333333333333,4151.888888888889,3855.3333333333335,3483.777777777778,3011.5555555555557,2336.222222222222,76286.11111111111
142618,SB,3.0,2010.0,1203.6666666666667,794.8888888888889,630.3333333333334,939.8888888888889,2077.5555555555557,3366.0,4088.5555555555557,4013.1111111111113,4133.555555555556,4096.111111111111,3881.222222222222,3933.1111111111113,4034.6666666666665,4359.111111111111,4415.888888888889,4437.0,4430.777777777777,4362.888888888889,4149.888888888889,4143.111111111111,3478.3333333333335,3110.5555555555557,2699.5555555555557,78789.77777777778
142684,SB,1.0,730.0555555555555,495.72222222222223,331.0,260.72222222222223,264.27777777777777,465.5,1047.2222222222222,1356.5,1568.9444444444443,1665.5555555555557,1673.5555555555557,1624.0,1690.5555555555557,1737.6666666666667,1884.9444444444443,2066.5,2022.611111111111,1889.6666666666667,1830.7222222222222,1716.111111111111,1599.5,1509.1666666666667,1369.7222222222222,1066.7777777777778,31867.0
142827,NB,5.0,841.2222222222222,537.8888888888889,452.22222222222223,527.5555555555555,985.7777777777778,2182.0,2477.6666666666665,2535.6666666666665,2710.6666666666665,2772.4444444444443,2772.1111111111113,2745.8888888888887,2649.222222222222,2795.5555555555557,2896.5555555555557,2884.222222222222,2855.6666666666665,2871.8888888888887,2758.8888888888887,2428.5555555555557,2088.8888888888887,1755.3333333333333,1472.6666666666667,1119.5555555555557,50118.11111111111
142839,SB,1.0,780.4444444444445,513.0,397.6666666666667,335.77777777777777,328.6666666666667,687.0,1638.4444444444443,1875.888888888889,1950.7777777777778,2213.8888888888887,2200.777777777778,2192.6666666666665,2246.0,2200.4444444444443,2176.8888888888887,2321.222222222222,2386.0,2527.5555555555557,2454.5555555555557,2224.5555555555557,1837.3333333333333,1650.7777777777778,1336.0,1059.111111111111,39535.444444444445
143230,NB,1.0,850.8888888888889,630.3333333333334,434.3333333333333,382.6666666666667,397.8888888888889,604.7777777777778,1193.7777777777778,1703.6666666666667,1890.888888888889,1953.7777777777778,1917.2222222222222,2084.8888888888887,2006.2222222222222,2078.6666666666665,2201.1111111111113,2352.0,2225.3333333333335,2165.777777777778,2087.6666666666665,1875.888888888889,1642.5555555555557,1469.888888888889,1401.3333333333333,1184.2222222222222,36735.77777777778
